gene,count
MUC5B,381.0
THSD4,281.0
EEF1G,272.0
SLC40A1,178.0
CXCL2,171.0
XBP1,115.0
H3F3B,104.0
AGR2,102.0
PKM,86.0
BPIFB1,66.0
HIF1A,62.0
TNS4,60.0
SOX2-OT,58.0
APP,52.0
KIAA1324,51.0
SEPTIN9,46.0
CP,46.0
ESR1,45.0
RASD1,44.0
PLXNB2,43.0
SOST,42.0
IL1R1,40.0
ANXA2,37.0
HNRNPD,36.0
NOTCH2NLA,36.0
ITGA6,35.0
EIF3C,34.0
CD55,33.0
SNHG15,32.0
MUC1,32.0
C2orf88,31.0
RAC1,31.0
CCN2,31.0
YWHAZ,30.0
SDC4,30.0
PROM1,30.0
EPCAM,29.0
SLC39A8,29.0
SCNN1A,29.0
NCOR2,29.0
CD47,28.0
LCN2,28.0
UBE2D3,28.0
CANX,27.0
GTF2I,27.0
LDHA,27.0
PAM,27.0
NORAD,27.0
ANXA5,26.0
PRXL2A,26.0
FBL,26.0
ARRDC3,26.0
HNRNPA1L2,26.0
PTGES3,26.0
TSPAN14,26.0
PDIA4,25.0
BIRC3,25.0
EIF4A1,25.0
SLC25A1,25.0
NEDD9,25.0
RGPD6,24.0
LAMP1,24.0
SF3B1,24.0
HSPA9,24.0
PLEC,23.0
ATP5F1A,23.0
CHD3,23.0
IL6,22.0
PODXL,22.0
TUBB,22.0
EHF,22.0
ANAPC1,22.0
ATP5F1C,22.0
PRKAR1A,21.0
TCIM,21.0
PLXNB1,21.0
SFPQ,21.0
LENG8,21.0
PTP4A1,21.0
CLTC,20.0
DDX39B,20.0
RGPD8,20.0
GANAB,20.0
RANBP2,20.0
SDHA,20.0
GREB1,20.0
BAIAP2,19.0
ARF1,19.0
NONO,19.0
SORL1,19.0
CTNND1,19.0
RPN1,19.0
HSPD1,19.0
TGFBR2,19.0
MYOF,19.0
SIM2,19.0
CTTN,19.0
SPIN1,19.0
SKP1,19.0
NR4A1,19.0
GALNT4,19.0
HSPA8,19.0
IGF1R,18.0
ATF4,18.0
CBX3,18.0
HNRNPF,18.0
P4HB,18.0
EPDR1,18.0
RHOA,18.0
IL6ST,18.0
BCL2L1,18.0
CDH1,18.0
FAR1,18.0
AMOTL2,18.0
PDIA3,18.0
HNRNPH1,17.0
CDKN1B,17.0
AP2M1,17.0
EWSR1,17.0
NPTN,17.0
SORD,17.0
NTN4,17.0
FGFR2,17.0
KCNC3,17.0
PHB2,16.0
NAMPT,16.0
FLNB,16.0
TMEM14C,16.0
CCT3,16.0
CFH,16.0
TARDBP,16.0
IRF1,16.0
ERP27,16.0
PRPF8,16.0
SRSF1,16.0
BCAM,16.0
SOD1,16.0
GOT1,15.0
IQGAP2,15.0
INPPL1,15.0
GOLPH3,15.0
SYNCRIP,15.0
FOXJ1,15.0
RTN4,15.0
MET,15.0
HSPE1,15.0
CPSF6,15.0
XRCC6,15.0
C20orf85,15.0
NECTIN2,15.0
MRFAP1L1,15.0
EIF4EBP2,15.0
ZFAND5,14.0
HYOU1,14.0
GAS6,14.0
POU5F1,14.0
HSPB1,14.0
TMEM101,14.0
HSPG2,14.0
CTBP1,14.0
CSNK1A1,14.0
HIPK3,14.0
CBWD2,14.0
RNF187,14.0
MLPH,14.0
IPO5,14.0
ITGB3,14.0
AKT1,14.0
EIF4G1,14.0
HADHA,14.0
TNC,13.0
DAP,13.0
CCND1,13.0
SLC26A2,13.0
PRKCI,13.0
PPP1R15B,13.0
ECPAS,13.0
SLC11A2,13.0
CCN1,13.0
SP3,13.0
RBMX,13.0
LAMB3,13.0
ILF3,13.0
CCDC71L,13.0
XPR1,13.0
AVPI1,13.0
ERICH3,13.0
TCP1,13.0
SCNN1G,13.0
PAPSS1,13.0
SEMA4C,13.0
IFT57,13.0
