x,y,z,feature_name,cell_id
3995.4062,1000.2969,15.328125,AKAP11,UNASSIGNED
3999.7344,1003.8906,15.78125,APP,UNASSIGNED
3997.4844,1001.3281,15.03125,CBWD2,UNASSIGNED
3998.0625,1001.5781,14.921875,CBWD2,UNASSIGNED
3997.2031,1001.03125,14.578125,CCL20,UNASSIGNED
3997.5469,1001.78125,14.390625,CD47,UNASSIGNED
3998.9531,1003.75,15.828125,COL18A1,UNASSIGNED
3999.0312,1000.75,15.765625,COL18A1,UNASSIGNED
3999.2344,1002.0469,15.078125,DYNC1H1,UNASSIGNED
3978.5156,1005.2969,13.046875,EEF1G,UNASSIGNED
3996.4375,1000.1875,15.03125,HMGN3,UNASSIGNED
3997.2812,1003.90625,15.1875,IL1R1,UNASSIGNED
3998.8125,1004.0,15.1875,IRF1,UNASSIGNED
3999.0469,1004.46875,15.28125,IRF1,UNASSIGNED
3995.875,1000.1406,15.390625,IRF3,UNASSIGNED
3997.4688,1000.5,14.265625,ITGB5,UNASSIGNED
3998.2031,1000.6875,15.84375,MPZL1,UNASSIGNED
3999.9844,1000.4844,15.796875,MUC5B,UNASSIGNED
3997.2031,1003.78125,15.4375,POLR2M,UNASSIGNED
3996.7969,1001.2031,15.640625,PPP1R9B,UNASSIGNED
3998.2188,1002.5,15.5,PROM2,UNASSIGNED
3995.7188,1000.84375,14.671875,PRRC2A,UNASSIGNED
3999.75,1000.96875,15.203125,ROCK2,UNASSIGNED
3999.9375,1001.2031,14.140625,SLC40A1,UNASSIGNED
3997.9375,1001.09375,14.046875,SPATA5L1,UNASSIGNED
3999.9844,1003.7344,15.453125,TUBB,UNASSIGNED
3996.9844,1002.5469,15.15625,VEGFA,UNASSIGNED
3998.6094,1002.15625,14.703125,ATP5F1A,UNASSIGNED
3998.6562,1002.40625,14.875,CLPTM1L,UNASSIGNED
3999.0938,1003.25,15.390625,EEF1G,UNASSIGNED
3999.625,1001.2969,14.046875,GOLPH3,UNASSIGNED
3999.3438,1001.4219,14.296875,HIF1A,UNASSIGNED
3999.9688,1000.7031,14.203125,HIF1A,UNASSIGNED
3996.7656,1001.6406,14.5,KIAA1324,UNASSIGNED
3999.8281,1001.3125,15.4375,LAPTM4B,UNASSIGNED
3998.7656,1000.0,14.765625,LGALS8,UNASSIGNED
3998.4688,1000.2969,15.796875,MUC5B,UNASSIGNED
3999.9219,1001.9844,14.234375,SPATA5L1,UNASSIGNED
3997.4219,1003.2344,14.953125,STK40,UNASSIGNED
3999.0625,1001.65625,15.65625,TNS4,UNASSIGNED
3987.6562,938.3594,14.65625,A2ML1,hddliimf-1
