x,y,cell_type,cell_class,anatomical_layer,mucosal_pseudospace
2646.273310185185,298.7504748148149,SMC (longitudinal),Smooth Muscle,Muscularis Propria,-1.0
2610.654933333333,327.8013929629629,SMC (Tgfb3_hi),Smooth Muscle,Muscularis Propria,-1.0
2655.320667741936,279.5049025806452,Mesothelium,Fibroblast,Muscularis Propria,-1.0
2650.7793508771933,291.78334403508774,SMC (longitudinal),Smooth Muscle,Muscularis Propria,-1.0
2564.7511372549025,379.1029431372549,Macrophage (Lyve1+),Immune,Muscularis Propria,-1.0
2679.9791874251496,263.74316796407186,Mesothelium,Fibroblast,Muscularis Propria,-1.0
2605.4229885714285,335.8246134285714,SMC (circular),Smooth Muscle,Muscularis Propria,-1.0
2621.5391888888885,325.75558092592604,SMC (circular),Smooth Muscle,Muscularis Propria,-1.0
2572.054705882353,373.7088704411764,SMC (longitudinal),Smooth Muscle,Muscularis Propria,-1.0
2584.2527024844726,366.3197857142857,SMC (longitudinal),Smooth Muscle,Myenteric Plexus,-1.0
2639.5386040201,305.45234613065327,SMC (longitudinal),Smooth Muscle,Muscularis Propria,-1.0
2659.4493608695657,289.4288426086957,SMC (circular),Smooth Muscle,Muscularis Propria,-1.0
2635.954976,315.53736440000006,SMC (longitudinal),Smooth Muscle,Muscularis Propria,-1.0
2570.549830057804,383.8519615606937,SMC (longitudinal),Smooth Muscle,Muscularis Propria,-1.0
2561.670786585366,391.243066097561,SMC (longitudinal),Smooth Muscle,Muscularis Propria,-1.0
2655.028325974026,297.159106103896,SMC (longitudinal),Smooth Muscle,Muscularis Propria,-1.0
2592.9056495412838,362.4682806422018,SMC (longitudinal),Smooth Muscle,Myenteric Plexus,-1.0
2544.433319354839,410.18187887096775,SMC (longitudinal),Smooth Muscle,Muscularis Propria,-1.0
2578.7288005747123,377.4664786206896,SMC (longitudinal),Smooth Muscle,Muscularis Propria,-1.0
2665.576167021277,295.96993234042554,SMC (Tgfb3_hi),Smooth Muscle,Muscularis Propria,-1.0
2552.2556354838707,407.75533161290326,SMC (longitudinal),Smooth Muscle,Muscularis Propria,-1.0
2620.12005625,338.6280071875,SMC (circular),Smooth Muscle,Muscularis Propria,-1.0
2688.4515234375,266.5811507812501,SMC (longitudinal),Smooth Muscle,Muscularis Propria,-1.0
2625.461009090909,331.5053963636364,SMC (longitudinal),Smooth Muscle,Muscularis Propria,-1.0
2650.5347285714283,304.1182270238095,SMC (longitudinal),Smooth Muscle,Muscularis Propria,-1.0
2528.7154047619047,429.273865,SMC (circular),Smooth Muscle,Muscularis Propria,-1.0
2611.600006097561,349.5738645121951,SMC (circular),Smooth Muscle,Muscularis Propria,-1.0
2704.623592050209,256.9708942259414,SMC (longitudinal),Smooth Muscle,Muscularis Propria,-1.0
2593.6777178571424,367.0784835714286,SMC (circular),Smooth Muscle,Myenteric Plexus,-1.0
2680.242815116279,281.1598247674419,SMC (longitudinal),Smooth Muscle,Muscularis Propria,-1.0
2639.032225641026,325.47871615384616,ICC (myenteric plexus),Interstitial,Muscularis Propria,-1.0
2558.047970866142,409.5621266929135,SMC (longitudinal),Smooth Muscle,Muscularis Propria,-1.0
2689.9076434262947,275.55448123505977,SMC (Tgfb3_hi),Smooth Muscle,Muscularis Propria,-1.0
2569.609197457627,397.0161589830509,SMC (longitudinal),Smooth Muscle,Muscularis Propria,-1.0
2542.2368429411763,417.7426436470588,SMC (longitudinal),Smooth Muscle,Muscularis Propria,-1.0
2633.0164352,330.934218,SMC (longitudinal),Smooth Muscle,Muscularis Propria,-1.0
2695.262145333333,264.05122893333333,SMC (longitudinal),Smooth Muscle,Muscularis Propria,-1.0
2743.3548980769237,224.1230575,SMC (Tgfb3_hi),Smooth Muscle,Muscularis Propria,-1.0
2652.9692029126213,311.4763881553398,SMC (circular),Smooth Muscle,Muscularis Propria,-1.0
2672.151787012987,290.4366445454545,SMC (Tgfb3_hi),Smooth Muscle,Muscularis Propria,-1.0
2509.0251962962966,460.86689870370367,SMC (Tgfb3_hi),Smooth Muscle,Muscularis Propria,-1.0
2535.313720300752,431.7765988721805,SMC (longitudinal),Smooth Muscle,Muscularis Propria,-1.0
2715.270280232558,248.89175505813952,SMC (longitudinal),Smooth Muscle,Muscularis Propria,-1.0
2730.488587755102,235.57935775510205,SMC (Tgfb3_hi),Smooth Muscle,Muscularis Propria,-1.0
2541.148546551724,424.8333757471264,SMC (longitudinal),Smooth Muscle,Muscularis Propria,-1.0
2522.691243529411,439.8813007058823,SMC (circular),Smooth Muscle,Muscularis Propria,-1.0
2704.6507040322585,264.1888377419355,SMC (longitudinal),Smooth Muscle,Muscularis Propria,-1.0
2603.3162733333334,369.32856481481474,Glia1 (Slc18a2+),ENS,Myenteric Plexus,-1.0
2582.34273125,387.9190154166667,SMC (longitudinal),Smooth Muscle,Muscularis Propria,-1.0
2642.7701652173914,323.7461184782609,ICC (myenteric plexus),Interstitial,Muscularis Propria,-1.0
2515.681032075472,452.6074224528302,SMC (lamina propria),Smooth Muscle,Muscularis Propria,-1.0
2626.99773,340.32369500000004,ICC (myenteric plexus),Interstitial,Muscularis Propria,-1.0
2669.820287951808,302.66629265060243,Endothelial (capillary),Endothelial,Muscularis Propria,-1.0
2659.585407462687,306.71924283582086,SMC (longitudinal),Smooth Muscle,Muscularis Propria,-1.0
2572.5985,400.3633061904762,SMC (longitudinal),Smooth Muscle,Muscularis Propria,-1.0
2563.6784272727277,410.206186060606,SMC (longitudinal),Smooth Muscle,Muscularis Propria,-1.0
2738.2005742424244,237.88987924242423,SMC (Tgfb3_hi),Smooth Muscle,Muscularis Propria,-1.0
2556.51292,414.0411392,SMC (Npy2r+),Smooth Muscle,Muscularis Propria,-1.0
2682.41305774648,287.9017109859155,SMC (circular),Smooth Muscle,Muscularis Propria,-1.0
2488.133886,490.304115,SMC (Tgfb3_hi),Smooth Muscle,Muscularis Propria,-1.0
2523.937825252525,447.3648181818182,SMC (Tgfb3_hi),Smooth Muscle,Muscularis Propria,-1.0
2757.925915873016,217.7758995238095,SMC (circular),Smooth Muscle,Muscularis Propria,-1.0
2741.418977464789,231.6135125352113,SMC (longitudinal),Smooth Muscle,Muscularis Propria,-1.0
2699.6971970873788,274.2804554368932,SMC (muscularis mucosae),Smooth Muscle,Muscularis Propria,-1.0
2686.4971625,285.59213375,SMC (circular),Smooth Muscle,Muscularis Propria,-1.0
2721.897152631579,254.4021623026316,SMC (longitudinal),Smooth Muscle,Muscularis Propria,-1.0
2523.8835966666666,452.3390656666666,SMC (circular),Smooth Muscle,Muscularis Propria,-1.0
2781.379156000001,196.3954004,Mesothelium,Fibroblast,Myenteric Plexus,-1.0
2547.4309159420286,434.12832565217394,SMC (longitudinal),Smooth Muscle,Muscularis Propria,-1.0
2675.5505531914896,294.3967017021277,FB3 (muscularis externa),Fibroblast,Muscularis Propria,-1.0
2773.3193042857147,206.30549857142853,SMC (longitudinal),Smooth Muscle,Myenteric Plexus,-1.0
2507.3007528301887,471.5411167924529,SMC (circular),Smooth Muscle,Muscularis Propria,-1.0
2713.400918283582,261.0175047761194,SMC (longitudinal),Smooth Muscle,Muscularis Propria,-1.0
2698.2817309090906,275.8438112727273,SMC (circular),Smooth Muscle,Muscularis Propria,-1.0
2751.6449698324027,231.2099699441341,SMC (longitudinal),Smooth Muscle,Muscularis Propria,-1.0
2503.030691803279,480.1323719672131,SMC (longitudinal),Smooth Muscle,Muscularis Propria,-1.0
2522.9315619047616,453.5506285714286,SMC (circular),Smooth Muscle,Muscularis Propria,-1.0
2693.3881433962265,280.9297288679245,SMC (longitudinal),Smooth Muscle,Muscularis Propria,-1.0
2769.6159344537814,213.05231336134452,SMC (longitudinal),Smooth Muscle,Myenteric Plexus,-1.0
2495.8759761589404,484.4677132450332,SMC (longitudinal),Smooth Muscle,Muscularis Propria,-1.0
2730.160238461539,245.53171923076923,SMC (circular),Smooth Muscle,Muscularis Propria,-1.0
2622.6837805970144,361.3309404477613,SMC (circular),Smooth Muscle,Muscularis Propria,-1.0
2719.910749635036,261.12020481751824,SMC (muscularis mucosae),Smooth Muscle,Muscularis Propria,-1.0
2480.9890173913045,497.1790908695653,SMC (longitudinal),Smooth Muscle,Muscularis Propria,-1.0
2730.207233333333,250.81041525641027,SMC (longitudinal),Smooth Muscle,Muscularis Propria,-1.0
2535.5132784313723,442.6561624509805,SMC (longitudinal),Smooth Muscle,Muscularis Propria,-1.0
2696.6346904,286.55364048,SMC (circular),Smooth Muscle,Muscularis Propria,-1.0
2646.597063414634,337.8574707317073,SMC (longitudinal),Smooth Muscle,Muscularis Propria,-1.0
2513.647412048192,468.902968313253,SMC (circular),Smooth Muscle,Muscularis Propria,-1.0
2665.625945614035,315.9047115789473,SMC (circular),Smooth Muscle,Muscularis Propria,-1.0
2512.9854354838712,475.5862816129032,SMC (circular),Smooth Muscle,Muscularis Propria,-1.0
2677.1430800000003,306.94712050000004,SMC (circular),Smooth Muscle,Muscularis Propria,-1.0
2535.49577037037,451.4829364814815,SMC (longitudinal),Smooth Muscle,Muscularis Propria,-1.0
2671.8028732394364,311.1027216901408,SMC (circular),Smooth Muscle,Muscularis Propria,-1.0
2634.2232805084745,351.5497468644068,SMC (circular),Smooth Muscle,Muscularis Propria,-1.0
2730.2531860465115,257.89297162790695,Endothelial (capillary),Endothelial,Muscularis Propria,-1.0
2659.735150666667,322.5010624,SMC (circular),Smooth Muscle,Muscularis Propria,-1.0
2804.4977605504587,186.05657880733943,SMC (longitudinal),Smooth Muscle,Myenteric Plexus,-1.0
2522.485747761194,466.2831898507462,SMC (longitudinal),Smooth Muscle,Muscularis Propria,-1.0
2736.7748509803923,247.21904627450976,SMC (longitudinal),Smooth Muscle,Muscularis Propria,-1.0
2482.89878125,506.0370584375,SMC (Tgfb3_hi),Smooth Muscle,Muscularis Propria,-1.0
2705.9527362637364,284.2804076923077,SMC (circular),Smooth Muscle,Muscularis Propria,-1.0
2751.098527027027,239.2603283783784,SMC (circular),Smooth Muscle,Muscularis Propria,-1.0
2495.1756854545456,497.15315115151503,SMC (longitudinal),Smooth Muscle,Muscularis Propria,-1.0
2608.510926666667,382.8292321481481,SMC (circular),Smooth Muscle,Muscularis Propria,-1.0
2489.3110870967744,504.1635416129032,SMC (longitudinal),Smooth Muscle,Muscularis Propria,-1.0
2710.849731818182,277.77699681818183,SMC (circular),Smooth Muscle,Muscularis Propria,-1.0
2646.2430625,345.2960145833333,SMC (circular),Smooth Muscle,Muscularis Propria,-1.0
2822.707368122271,174.69515323144108,Mesothelium,Fibroblast,Myenteric Plexus,-1.0
2731.144832911392,264.19699784810126,SMC (circular),Smooth Muscle,Muscularis Propria,-1.0
2817.9332528735627,181.03022660919544,SMC (longitudinal),Smooth Muscle,Myenteric Plexus,-1.0
2720.202921590909,276.0691532954545,SMC (circular),Smooth Muscle,Muscularis Propria,-1.0
2804.9722888888887,193.24507814814817,SMC (longitudinal),Smooth Muscle,Myenteric Plexus,-1.0
2667.3537018691586,326.99400962616824,SMC (circular),Smooth Muscle,Muscularis Propria,-1.0
